"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Тесты страницы ленты заказов","0","","4","0","","0"
"0","Тесты страницы ленты заказов","0","","4","0","Проверка отображения последнего созданного заказа в ленте","0"
"0","Тесты страницы восстановления пароля","0","","4","0","","0"
"0","Тесты главной страницы","0","","12","0","","0"
"0","Тесты страницы ленты заказов","0","","4","0","Проверка счетчиков количества заказов в день и всего","0"
"0","Тесты страницы профиля","0","","4","0","","0"
"0","Тесты страницы авторизации","0","","2","0","","0"
